Source,Year,Mean,Rating
GCAG,2016,0.9363,bad
GISTEMP,2016,0.99,bad
GCAG,2015,0.8998,bad
GISTEMP,2015,0.87,bad
GCAG,2014,0.7408,bad
GISTEMP,2014,0.74,bad
GCAG,2013,0.6679,bad
GISTEMP,2013,0.65,bad
GCAG,2012,0.624,bad
GISTEMP,2012,0.63,bad
GCAG,2011,0.5788,bad
GISTEMP,2011,0.6,bad
GCAG,2010,0.7014,bad
GISTEMP,2010,0.71,bad
GCAG,2009,0.6367,bad
GISTEMP,2009,0.64,bad
GCAG,2008,0.5419,bad
GISTEMP,2008,0.54,good
GCAG,2007,0.61,good
GISTEMP,2007,0.66,good
GCAG,2006,0.6125,good
GISTEMP,2006,0.63,good
GCAG,2005,0.6585,good
GISTEMP,2005,0.69,good
GCAG,2004,0.5783,good
GISTEMP,2004,0.55,good
GCAG,2003,0.6134,good
GISTEMP,2003,0.62,good
GCAG,2002,0.6023,good
GISTEMP,2002,0.63,good
GCAG,2001,0.5473,good
GISTEMP,2001,0.55,good
GCAG,2000,0.4262,good
